species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Lycopodium clavatum,LYCOPODIACEAE,Lycopodium,clavatum,Stagshorn Clubmoss,native,L.,Vas_1215,,"
Circumpolar Boreo-arctic Montane element.

Nationally it is found in dwarf shrub heaths (BH10) in upland areas of the British Isles and occasionally in lowland areas.
Rare (10). In northern Lancashire it favours acid stony places with open communities or open acid grasslands. It was found on Longridge Fell and scattered throughout Bowland and the Lune valley uplands. Formerly, although always rare, it seems to have occurred more widely with localities in Leck, on Warton Crag, Grindleton and in Whitendale. However there is evidence that individual colonies may only be present for a few years. The ‘New Atlas’ suggests that populations tend to be transient nationally and that losses are mostly in lowland areas pre 1930. ‘Local Change’ suggests that there has been little change in recent years.

",Circumboreal (Boreo?temperate)
Selaginella selaginoides,SELAGINELLACEAE,Selaginella,selaginoides,Lesser Clubmoss,native,(L.) P.Beauv.,Vas_1888,,"
Circumpolar Boreal-montane element.
Nationally it occurs in calcareous grassland (BH7), fens, marshes and swamps including flushes (BH11) in upland areas in much of the British Isles.
Rare (6). In northern Lancashire Lesser Clubmoss is confined to calcareous flushes in Leck and Ireby and on shell marl, Hawes Water, Silverdale. Former records were from the same areas, where it is found today, but additionally it was found on the Lytham St Anne’s sand dunes, near Damas Gill Head, Quernmore and in the gorge of the R. Greta. It has not been recorded from VC 64. The ‘New Atlas’ suggests losses occurred nationally before 1930 and ‘Local Change’ confirms that there has been no recent decline although many calcareous grassland (BH7) species showed a significant decrease since 1987.

",Arctic–Alpine / Circumboreal
Equisetum arvense,EQUISETACEAE,Equisetum,arvense,Field Horsetail,native,L.,Vas_712,,"
Circumpolar Wide-boreal element.
This occurs throughout British Isles in a wide variety of habitats especially roadside verges, grasslands and disturbed places generally (BH3, 4).
Very common (413). Field Horsetail occurs in most of northern Lancashire but it is not found in wet places or in the upland heaths and mires of Bowland. There is no evidence for spread or decline of this species in northern Lancashire or nationally.

",Circumboreal (Boreo?temperate)
Equisetum arvense x fluviatile = E. x litorale,EQUISETACEAE,Equisetum,arvense x fluviatile = E. x litorale,Shore Horsetail,native,Kühlew. ex Rupr.,Vas_715,,Text,Circumboreal hybrid (Boreo?temperate wetland)
Equisetum fluviatile,EQUISETACEAE,Equisetum,fluviatile,Water Horsetail,native,L.,Vas_713,,"
Circumpolar Boreo-temperate element.
This is found in a variety of fens, marshes and swamps (BH 11) throughout the British Isles.
Frequent (224). It occurs throughout northern Lancashire but it does not occur on peat bogs. There is no evidence of any change in frequency in northern Lancashire and this is reflected nationally for most of the country.

Equisetum fluviatile x E. arvense (E. x litorale Kühlew. Ex Rupr.)
",Circumboreal (Boreal wetland)
Equisetum fluviatile x telmateia = E. x willmotii,EQUISETACEAE,Equisetum,fluviatile x telmateia = E. x willmotii,Willmot's Horsetail,native,C.N.Page,Vas_3432,Nationally rare,Text,Eurosiberian–Temperate wetland hybrid
Equisetum palustre,EQUISETACEAE,Equisetum,palustre,Marsh Horsetail,native,L.,Vas_717,,"
Circumpolar Boreo-temperate element.
Marsh Horsetail is found throughout the British Isles in fens, marshes and swamps (BH11).
Common (261). It is found in most of northern Lancashire where there is no evidence for spread or decline but the most recent national survey (‘Local Change’) reports a significant decrease.

Equisetum palustre x E. telmateia (E. x fontqueri Rothm.)

This hybrid is found in scattered localities in western Britain.
Very rare (3). All three localities in northern Lancashire, in an abandoned brick pit at Preston (SD53A), where it was first seen in 2003, in a flush on Marshaw Fell (SD55B) and in a marshy area by the R. Dunsop (SD65K), were discovered by P.J.

",Circumboreal (Boreo?temperate)
Equisetum palustre var. polystachyum,EQUISETACEAE,Equisetum,palustre var. polystachyum,Many-spiked Marsh Horsetail,native,A.Braun ex Engelm.,IPNI id: 92999-2,,Text,Circumboreal (Boreo?temperate)
Equisetum sylvaticum,EQUISETACEAE,Equisetum,sylvaticum,Wood Horsetail,native,L.,Vas_720,,"
Circumpolar Boreo-temperate element.
Wood Horsetail favours damp places in ancient woodland (BH1) or in more open areas by streams where it is probably a relic of a former woodland flora. It is found in the north and west of the British Isles.
Frequent (91). This woodland species is found in the east of northern Lancashire where populations appear stable but decline in British lowlands was noted in 1962 and since (New Atlas).

",Circumboreal (Boreal forest)
Equisetum telmateia,EQUISETACEAE,Equisetum,telmateia,Great Horsetail,native,Ehrh.,Vas_721,,"
European Southern-temperate element. .
Great Horsetail occurs in fens, marshes and swamps (BH11) rather than woodland in many parts of the British Isles although it is absent from parts of northern and eastern Scotland.
Frequent (86). Typically this is found in wet ancient woodlands (BH1) in Bowland especially in the Ribble and Hodder river valleys, perhaps reflecting its more southerly distribution in Britain and Europe. However it can also be found in non-wooded and flushed areas by streams or on roadsides. There is no evidence for a change in its distribution in northern Lancashire or nationally


Equisetum arvense x E. telmateia (E. x robertsii T.D. Dines)

This hybrid was first described from Anglesey (Dines and Bonner, 2002).
Very rare (3). In northern Lancashire this hybrid was first found by the Lancaster Canal at Cabus (SD44Y) in 2001 and probably further south by the canal at Catterall (SD54B) in 2003. It was also found in a hedge bottom on the boundary between Middleton and Overton (SD45J) in 2002. All records E.F.G. As this hybrid has been overlooked for so long it would be surprising if more colonies were not discovered in due course.

Equisetum hybrids

Many horsetail hybrids have only been described relatively recently. They are often difficult to distinguish from their parents with which they may or may not occur. Most are thought to be rare but in recent years, as the ability to recognise them improves, they are proving to be more widespread and perhaps more frequent that at first thought. However once a hybrid has arisen colonies are likely to be long-lived although for hybrids to form the parents must be in close contact with each other. This implies that at formation there was considerable habitat disturbance even if this was hundreds of years ago (C.N. Page pers. comm.). This is probably the case for colonies of E. x robertsii on the Lancaster Canal, which was built in 1795 and for E. x willmotii at Chipping where the colony is found in a roadside ditch adjoining what was a major military encampment at the end of the 19th century (Mrs M. Lord, pers. comm.). Thus, even though habitats for Equisetum hybrids today may appear stable their presence probably reflects major disturbance at some time in the past.
  





",Eurosiberian–Atlantic (Temperate)
Botrychium lunaria,OPHIOGLOSSACEAE,Botrychium,lunaria,Moonwort,native,(L.) Sw.,Vas_248,,"
Circumpolar Boreo-temperate element.
This is found in calcareous pastures and sand dunes (BH7, 19) in much of the British Isles but it is rare in most of Ireland and south-eastern England.
Rare (13). In northern Lancashire Moonwort is found mostly in the Silverdale and Warton areas but also in Bowland and Lytham St Anne’s. Since 2000 the only records have been from Warton Crag (SD47W) and Little Bowland (SD64N). There are no recent records from Lancashire VC64. Although always rare it was formerly more widespread in Bowland including three localities near Newton-in-Bowland in VC64. Despite it having declined over the last 100 years the appearance of individual colonies was always erratic. The ‘New Atlas’ reports losses nationally since 1962 and ‘Local Change’ suggests further losses since 1987 may be continuing.

CALAMOPHYTES
Horsetails

",Circumboreal / Arctic–Alpine
Ophioglossum vulgatum,OPHIOGLOSSACEAE,Ophioglossum,vulgatum,Adder's Tongue,native,L.,Vas_1381.2,,"
Circumpolar Temperate element.
It occurs in dune slacks, neutral and calcareous grasslands (BH19, 6, 7) in most of the British Isles although it is rare in northern and eastern Scotland.
Occasional (69). In northern Lancashire Adder’s-tongue is found scattered throughout the area. However there is qualitative evidence suggesting that during the last twenty years or so this species has declined markedly and by 2000 may have become rare. Its former habitats were usually in short turf at the margins of fields and on roadside verges and in many of these habitats it appears that eutrophication has caused much lusher and taller vegetation to develop (Greenwood, 2003). The ‘New Atlas’ confirms that a decline took place in lowland areas between 1962 and 2000 but ‘Local Change’ did not observe any further significant decline.

",Eurosiberian–Temperate
Osmunda regalis,OSMUNDACEAE,Osmunda,regalis,Royal Fern,native,L.,Vas_1411,,"
Suboceanic Southern-temperate element.
Royal Fern is found mostly in the west of the British Isles in neutral or acid habitats varying from fens and mires to woodlands (BH1, 11).
Rare (12). Formerly it was confined to the edges of lowland raised bogs (mosses), heaths, coastal sandstone cliffs and wet ancient woodlands. By 1907 Wheldon and Wilson (1907) thought it almost extinct but in recent years it has colonized railway cuttings and the walls of Lancaster Castle. In Lancashire VC 64 it was planted in the grounds of Browsholme Hall. In general after suffering greatly from collecting in the 19th century there may be signs of recovery although it seems to have gone recently from the dune heath at Lytham St Anne’s. These recent changes are reflected nationally in the ‘New Atlas’ although ‘Local Change’ suggests further losses may still be occurring in its woodland and wetland habitats.

",Atlantic–Subtropical / Temperate
Adiantum capillus-veneris,PTERIDACEAE,Adiantum,capillus-veneris,Maidenhair Fern,native,L.,Vas_17,,Text,Sub?Mediterranean–Subtropical
Polypodium cambricum,POLYPODIACEAE,Polypodium,cambricum,Southern Polypody,native,L.,Vas_1544.1,,"
Mediterranean-Atlantic element.
This occurs in woodlands and on basic rocks and walls (BH1, 16) in Ireland and western Britain
Rare (7) but possibly overlooked. It is confined to limestone rocks and pavement, sometimes in woodlands, in the Silverdale to Warton areas and on Dalton Crags. It is not known if there is any change in its distribution or frequency locally or nationally.






===== 17 Gymnosperms.doc =====
GYMNOSPERMS
Conifers

",Atlantic–Mediterranean
Polypodium cambricum var. Omnilacerum Burntbarrow,POLYPODIACEAE,Polypodium,cambricum var. Omnilacerum Burntbarrow,,neophyte,,Vas_1544.1,,Text,Atlantic–Mediterranean
Polypodium cambricum x interjectum = P. x shivasiae,POLYPODIACEAE,Polypodium,cambricum x interjectum = P. x shivasiae,Shivas's Polypody,native,Rothm.,Vas_2595,,Text,Atlantic–Eurosiberian hybrid
Polypodium cambricum x vulgare = P. x font-queri,POLYPODIACEAE,Polypodium,cambricum x vulgare = P. x font-queri,Font-quer's Polypody,native,Rothm.,Vas_2593,,Text,Atlantic–Temperate hybrid
Polypodium interjectum,POLYPODIACEAE,Polypodium,interjectum,Western Polypody,native,Shivas,Vas_1544.3,,"
Suboceanic Temperate element.
P. interjectum occurs on base-rich substrates in woodlands (BH1) in most parts of the British Isles.
Occasional (50). Although likely to have been overlooked in northern Lancashire it favours base rich substrates, especially in the north of the region where it grows on limestone rocks and pavements around Morecambe Bay (BH16). However it is also found on walls  (BH3) and calcareous banks in woodlands. It is not known if there is any change in its distribution and frequency locally or nationally.

Polypodium interjectum x P. cambricum (P. shivasiae Rothm.)

This is a rare hybrid found in scattered places in Ireland and western Britain.
Very rare (1). This has only been recorded from a limestone cliff at Warton  (SD47W) where it was found in 1976 (W.E.H. at LANC). It could occur elsewhere in the Silverdale to Warton areas but it can only be identified microscopically.

Polypodium vulgare x P. cambricum (P. x font-queri Rothm.)

This rare hybrid is found in scattered localities in western Britain north to southern Scotland
Very rare (1). There is a single record from limestone rocks in a woodland in the Yealand Conyers, Yealand Redmayne area (Livermore and Livermore, 1987; SD47X). It can only be identified microscopically.

",Atlantic–Eurosiberian
Polypodium interjectum x vulgare = P. x mantoniae,POLYPODIACEAE,Polypodium,interjectum x vulgare = P. x mantoniae,Manton's Polypody,native,Rothm. & U.Schneid.,Vas_2594,,Text,Atlantic–Temperate hybrid
Polypodium interjectum x vulgare = P. x mantoniae var. cornubiense,POLYPODIACEAE,Polypodium,interjectum x vulgare = P. x mantoniae var. cornubiense,,neophyte,,Vas_2594,,Text,Atlantic–Temperate hybrid
Polypodium vulgare,POLYPODIACEAE,Polypodium,vulgare,Common Polypody,native,L.,Vas_1544.2,,"
European Boreo-temperate element.
Polypody occurs throughout the British Isles mostly in woodlands.
Common (252). Polypodium vulgare sensu lato occurs throughout northern Lancashire in woodlands (BH1), on walls (BH3), rocky places (BH16) and on sand dunes (BH19). However recorders rarely noted P. vulgare sensu stricto and it is only recently that a determined effort has been made to distinguish the individual taxa of the group, which can only be done by microscopical examination of the sporangia and spores. This shows that P. interjectum and the hybrid P. x mantoniae may be as frequent or even more frequent than P. vulgare. It would appear however that P. vulgare is a woodland plant occurring on trees or on fixed sand dunes. The ‘New Atlas’ suggests that there was no change in its distribution since 1962 whilst ‘Local Change’ suggests P. vulgare sensu lato could be increasing.

Polypodium vulgare x P. interjectum (P. x mantoniae Rothm. & U. Schneid.)
This is a frequent hybrid and probably occurs throughout the range of the parents in the British Isles.
Occasional (17) but almost certainly more frequent. However as it can only certainly be recognised microscopically few recorders have attempted identification. Most records are post 1998. It occurs in a wide range of habitats although it has not been found on sand dunes and it seems to favour walls and hedge banks (BH3). It is sometimes found with one or other of the parents but often in the absence of both. There is no information on any changes in its distribution or frequency locally or nationally.

",Circumboreal–Temperate
Matteuccia struthiopteris,ONOCLEACEAE,Matteuccia,struthiopteris,Ostrich Fern,neophyte,(L.) Tod.,Vas_2504,,"
Neophyte. This is a European species introduced into Britain in 1760 and cultivated in gardens.
Very rare (1). It was reported growing outside cottages at Silverdale (Tipping, 2001).

",Circumboreal (Boreal–temperate)
Pteridium aquilinum,DENNSTAEDTIACEAE,Pteridium,aquilinum,Bracken,native,(L.) Kuhn,Vas_1619,,"
Circumpolar Temperate element.
Bracken is found on a variety of acidic or neutral substrates but mainly in woodlands (BH1) and on hillsides where it may dominate large areas (BH9). However it also occurs in limestone areas where substrates overlying the limestone become leached, on dried out lowland raised bogs (mosses), on fixed dunes and old buildings and walls. It is absent from aquatic habitats and mires. It is found through out the British Isles.
Common (340). It occurs in most of northern Lancashire but its apparent absence from parts of eastern Bowland seems anomalous. There is no evidence for a change of status in northern Lancashire and the ‘New Atlas’ supports this nationally but ‘Local Change’ suggests that it may have declined since 1987 in its woodland habitat and in some areas of arable farmland.

",Cosmopolitan Temperate
Oreopteris limbosperma,THELYPTERIDACEAE,Oreopteris,limbosperma,Lemon Scented Fern,native,(All.) Holub,Vas_2051,,"
European Temperate element.
This fern is found on peaty or humus-rich soils in woodlands (BH1) and by streams and ditches mostly in western Britain and coastal parts of Ireland.
Frequent (166). It is a characteristic species of acidic Bowland woods and upland streamsides with occasional occurrences elsewhere. Occasionally it achieves dominance as in upper Whitendale. It seems to have gone in recent years from some of its more lowland sites but generally it appears stable. Similarly the ‘New Atlas’ suggests that there were losses in lowland areas but largely before 1930. However whilst ‘Local Change’ also shows populations to be largely stable it is included in a group of woodland species and species of inland rock habitats (BH16) that are showing significant decrease.

",Atlantic–Boreo?temperate
Phegopteris connectilis,THELYPTERIDACEAE,Phegopteris,connectilis,Beech Fern,native,(Michx.) Watt,Vas_2053,,"
Circumpolar Boreo-temperate.
Beech Fern occurs primarily in ancient woodland (BH1) but it is also found in rocky places in the uplands (BH16), probably former woodland. Occasional (54). In northern Lancashire it is found in the north and east of the area.  However whilst populations are stable overall, it is capable of colonizing new places, e.g. on mill ruins in Duddell Wood on the south side of Longridge Fell. On the other hand it seems to have gone or has not been re-discovered in others, e.g. in woods about Newton-in-Bowland where J.F. Pickard described it as common at the end of the 19th century. The ‘New Atlas’ also considers it to be stable, a situation confirmed by ‘Local Change’.

",Circumboreal (Boreal–montane)
Thelypteris palustris,THELYPTERIDACEAE,Thelypteris,palustris,Marsh Fern,native,Schott,Vas_2052,,"
Although this fern has not been recorded in northern Lancashire it is possible that it occurs as it was recorded in Cumbria on the border with Lancashire (SD47S) in 1994 (Halliday, 1997)].

",Circumboreal–Temperate wetland
Asplenium adiantum-nigrum,ASPLENIACEAE,Asplenium,adiantum-nigrum,Black Spleenwort,native,L.,Vas_185.1,,"
European Temperate element.
A. adiantum-nigrum is primarily a species of walls and hedge banks (BH3). It occurs throughout the British Isles.
Frequent (77). Although this species is widespread in northern Lancashire it is less frequent in Lancashire VC 64. There is no evidence of changing status in the region and nationally it appears stable.

",Sub?Mediterranean–Atlantic
Asplenium ceterach,ASPLENIACEAE,Asplenium,ceterach,Rusyback Fern,native,L.,Vas_473,,"
Submediterranean-Subatlantic element.
Rustyback occurs on calcareous rocks and walls (BH16, 17) in western parts of the British Isles.
Occasional (39). It is scattered throughout northern Lancashire. Although overall there is little evidence for any change in its distribution in northern Lancashire there have been minor changes. Petty (1902) had difficulty in finding it in Silverdale where today there are several sites whilst Weld (c. 1888) knew it at the end of the 19th century from the mill dam, Chipping from where it has been reported at intervals ever since. The ‘New Atlas’ suggests that it has become more frequent and ‘Local Change’ reports that this is possible.

",Mediterranean–Subatlantic
Asplenium marinum,ASPLENIACEAE,Asplenium,marinum,Sea Spleenwort,native,L.,Vas_189,,"
Suboceanic Southern-temperate element.
Sea Spleenwort is found on rocks (BH18) around the coasts of the British Isles except eastern England.
Very rare (1). There are very few rocky sea cliffs in northern Lancashire available for this species. At Heysham (SD46A) there is a continuous record for its presence following its discovery there in April 1685 by Thomas Lawson (Raven, 1942). However Samuel Simpson reported it from Silverdale (Simpson, 1843) but Ashfield (1864) thought it had been eradicated by collectors. Petty (1902) thought the locality was Cow’s Mouth (SD458737). Following losses before 1930 populations nationally seem stable (New Atlas) but although the sample was small ‘Local Change’ suggests that since 1987 there has been a significant increase in the number of tetrads in which the species occurs.

Asplenium trichomanes L. ssp. trichomanes

Circumpolar Temperate element.
The subspecies of Asplenium trichomanes were not recognised until recently However A. trichomanes ssp. trichomanes occurs on acid rocks (BH16) in Wales and northern Britain.
Very rare (5).  In northern Lancashire it has been confirmed growing in Foxdale (SD56Q.) in 2004 (E.F.G & J.M.N); in Hawthornthwaite Greeve, Nether Wyresdale (SD55Q in 2005 (E.F.G); Croasdale, Bowland Forest High (SD65Y) in 2006 (E.F.G.) and in woodland at Bolton-by-Bowland (SD74Z) in 2006 (E.F.G.). It is not possible to assess any change in status locally or nationally but as it occurs in small quantity it must be vulnerable to any changes to the climate or environment.

",Atlantic coastal
Asplenium ruta-muraria,ASPLENIACEAE,Asplenium,ruta-muraria,Wall Rue,native,L.,Vas_192,,"
Circumpolar Temperate element.
This species occurs on basic rocks and mortared walls (BH18, 17) throughout the British Isles.
Very common (259). It is also found throughout northern Lancashire. There is no evidence for a change in its frequency or abundance in northern Lancashire although the ‘New Atlas’ suggests that there were some losses nationally since 1950 but ‘Local Change’ reports no change since 1987.

",Eurosiberian–Temperate
Asplenium scolopendrium,ASPLENIACEAE,Asplenium,scolopendrium,Hartstongue Fern,native,L.,Vas_1466,,Text,Eurosiberian–Sub?Mediterranean
Asplenium trichomanes,ASPLENIACEAE,Asplenium,trichomanes,Maidenhair Spleenwort,native,D.E.Mey.,Vas_194.1,,"
Circumpolar Temperate element.
The subspecies of Asplenium trichomanes were not recognised until recently However A. trichomanes ssp. trichomanes occurs on acid rocks (BH16) in Wales and northern Britain.
Very rare (5).  In northern Lancashire it has been confirmed growing in Foxdale (SD56Q.) in 2004 (E.F.G & J.M.N); in Hawthornthwaite Greeve, Nether Wyresdale (SD55Q in 2005 (E.F.G); Croasdale, Bowland Forest High (SD65Y) in 2006 (E.F.G.) and in woodland at Bolton-by-Bowland (SD74Z) in 2006 (E.F.G.). It is not possible to assess any change in status locally or nationally but as it occurs in small quantity it must be vulnerable to any changes to the climate or environment.

",Circumboreal–Temperate
Asplenium viride,ASPLENIACEAE,Asplenium,viride,Green Spleenwort,native,Huds.,Vas_195,,"
Circumpolar Boreal-montane element.
This species occurs on limestone rocks and calcareous shale (BH16) in upland areas of the British Isles.
Rare (8).  In northern Lancashire most colonies are found in Leck and Ireby whilst the colony at Silverdale was last seen in 1983. In Bowland it occurs on shale cliffs in Artle and Foxdales. Formerly it occurred in Buckbanks Wood, Little Bowland on limestone (SD64H) where it was lost after a flood at the end of the 19th century (J. Weld, c. 1888) and from an unknown locality at the head of the Brennand valley in 1901 (Pickard, 1902). There is also a 1958 record (Henderson, 1962) from Dalton Crags (SD57N). This species is at its climatic limits in Lancashire requiring cool, humid summers and whilst a slow decline can be detected over the last 100 years national populations are thought to be stable (New Atlas) although there is a possibility that further decline might be taking place since 1987 (Local Change).

",Boreal–montane (Circumboreal)
Athyrium filix-femina,ATHYRIACEAE,Athyrium,filix-femina,Lady Fern,native,(L.) Roth,Vas_211,,Text,Circumboreal (Boreo?temperate)
Cystopteris fragilis,CYSTOPTERIDACEAE,Cystopteris,fragilis,Brittle Bladder Fern,native,(L.) Bernh.,Vas_603,,"
Circumpolar Wide-boreal element.
This is found on basic rocks and mortared walls (BH3, 16, 17) in western parts of the British Isles.
Frequent (73). In northern Lancashire C. fragilis is found mostly in the north and east of the area. There is no evidence for decline and it is possible that over the last 100 years it has become more frequent although the ‘New Atlas, shows that there have been some losses nationally since 1962. This is confirmed by ‘Local Change’ that suggests that most losses are from mortared walls in lowland areas.






",Circumboreal (montane–boreal)
Gymnocarpium dryopteris,CYSTOPTERIDACEAE,Gymnocarpium,dryopteris,Oak Fern,native,(L.) Newman,Vas_2050,,"
Circumpolar Boreo-temperate element.
This delicate fern grows in acid, rocky places generally in shady parts of ancient woodland (BH1) but sometimes in more exposed situations (BH16) in Wales and northern Britain and very rarely in northern Ireland.
Occasional (28). In northern Lancashire Oak Fern grows in western Bowland and Leck. There may have been some losses towards the east and south of the area, which is consistent with its reported loss from the edges of its British range (New Atlas), but ‘Local Change’ suggests the evidence for further losses since 1987 is weak.

",Circumboreal (Boreal–temperate)
Gymnocarpium robertianum,CYSTOPTERIDACEAE,Gymnocarpium,robertianum,Limestone Oak Fern,native,(Hoffm.) Newman,Vas_2054,,"
Circumpolar Boreo-temperate element.
This attractive fern is found on limestone rocks and grikes of limestone pavements (BH16) and in woodland (BH1) in parts of England and Wales and very rarely elsewhere.
Rare (7). In northern Lancashire it is found on the limestone in the north of the area but it also occurs in woodland on dripping turfa by the side of the R. Wyre in an area otherwise devoid of basic rocks. It has not been found in Lancashire VC 64. Its distribution is stable both locally and nationally.

",Eurosiberian–montane
Cyrtomium fortunei,DRYOPTERIDACEAE,Cyrtomium,fortunei,Fortune's Holly Fern,neophyte,J.Sm.,Vas_23580,,Text,Alien (Asian)
Dryopteris affinis subsp. affinis,DRYOPTERIDACEAE,Dryopteris,affinis subsp. affinis,Scaly Male Fern,native,(Lowe) Fraser-Jenk.,Vas_662.1,,Text,Atlantic–Eurosiberian
Dryopteris affinis subsp. kerryensis,DRYOPTERIDACEAE,Dryopteris,affinis subsp. kerryensis,Irish Scaly Male Fern,native,(Fraser-Jenk.) Fraser-Jenk,IPNI_77082208-1,,Text,Atlantic
Dryopteris affinis subsp. paleaceolobata,DRYOPTERIDACEAE,Dryopteris,affinis subsp. paleaceolobata,Greater Scaly Male Fern,native,(T.Moore) Fraser-Jenk.,Vas_22356,,Text,Atlantic
Dryopteris affinis subsp. affinis x filix-mas = Dryopteris x complexa nothosubsp. complexa,DRYOPTERIDACEAE,Dryopteris,affinis subsp. affinis x filix-mas = x complexa nothosubsp. complexa,Scaly Male x Male Fern,native,Fraser-Jenk.,Vas_2588.1,,Text,Atlantic–Temperate hybrid
Dryopteris borreri,DRYOPTERIDACEAE,Dryopteris,borreri,Borrer's Male Fern,native,(Newman) Newman ex Oberh. & Tavel,Vas_662.2,,"
This is the most widespread of the D. affinis sensu lato species in Europe and in the British Isles. It is found in woodlands, woodland edge and hedgerow habitats.
Frequent (50). In northern Lancashire the distribution of D. borreri is probably that of D. affinis sensu lato. However whilst it is the most frequent of the D. affinis sensu lato species it does not appear to extend as high up the valleys as D. affinis but tends to occur more frequently than D. affinis in lowland areas.

Hybrids

The cytotypes of D. affinis x D. filix-mas hybrids are tetraploid or pentaploid whereas the species are diploid or triploid. Several hybrids have been recognised but they are all difficult to identify. They often occur as single plants and may be found wherever the parents grow in close proximity.
In northern Lancashire a specimen (LIV) found in Caton-with-Littledale (SD56R) in 1997 (A. Pigott) was identified as D. affinis x D. filix-mas (D. x complexa Fraser-Jenk.). However Fraser-Jenkins (2007) cites a record of D. borreri x D. filix-mas (D. critica (Fraser-Jenk.) Fraser-Jenk.) as occurring in VC 60. It is likely that these records are based on the same plant and the voucher specimen at LIV looks as if one of the parents is D. borreri rather than D. affinis.
Another specimen (LIV) from Over Wyresdale (SD55M) collected in 1991 (E.F.G.) was tentatively identified as a hybrid between D, borreri and D, oreades. This seems unlikely as D. oreades is very rare in northern Lancashire and Fraser-Jenkins (2007) comments that plants attributed to this hybrid have not been confirmed. It is therefore likely that the Over Wyresdale plant belongs to another taxon.
  
",Atlantic–Temperate
Dryopteris cambrensis,DRYOPTERIDACEAE,Dryopteris,cambrensis,Welsh Scaly Male Fern,native,(Fraser-Jenk.) Beitel & W.R.Buck,Vas_662.3,,"
D. cambrensis has an oceanic distribution and although several subspecies are recognised only D. cambrensis ssp. cambrensis occurs in northern Lancashire.
Very rare (3). Fraser-Jenkins (2007) did not list this as occurring in northern Lancashire but specimens (LIV) from Nether Wyresdale (SD55F) collected in 1991 (E.F.G.); Barnacare-with-Bonds (SD54D) in 1991 (E.F.G.) and Caton-with-Littledale (SD56R) in 1997 (A. Pigott) were identified as this species. L.A. and P.D. Livermore also gathered specimens in Lancaster District, which they thought were this species but most if not all are D. affinis.

Dryopteris borreri (Newm.) Newm. Ex Oberh. & Tavel

This is the most widespread of the D. affinis sensu lato species in Europe and in the British Isles. It is found in woodlands, woodland edge and hedgerow habitats.
Frequent (50). In northern Lancashire the distribution of D. borreri is probably that of D. affinis sensu lato. However whilst it is the most frequent of the D. affinis sensu lato species it does not appear to extend as high up the valleys as D. affinis but tends to occur more frequently than D. affinis in lowland areas.

Hybrids

The cytotypes of D. affinis x D. filix-mas hybrids are tetraploid or pentaploid whereas the species are diploid or triploid. Several hybrids have been recognised but they are all difficult to identify. They often occur as single plants and may be found wherever the parents grow in close proximity.
In northern Lancashire a specimen (LIV) found in Caton-with-Littledale (SD56R) in 1997 (A. Pigott) was identified as D. affinis x D. filix-mas (D. x complexa Fraser-Jenk.). However Fraser-Jenkins (2007) cites a record of D. borreri x D. filix-mas (D. critica (Fraser-Jenk.) Fraser-Jenk.) as occurring in VC 60. It is likely that these records are based on the same plant and the voucher specimen at LIV looks as if one of the parents is D. borreri rather than D. affinis.
Another specimen (LIV) from Over Wyresdale (SD55M) collected in 1991 (E.F.G.) was tentatively identified as a hybrid between D, borreri and D, oreades. This seems unlikely as D. oreades is very rare in northern Lancashire and Fraser-Jenkins (2007) comments that plants attributed to this hybrid have not been confirmed. It is therefore likely that the Over Wyresdale plant belongs to another taxon.
  
",Atlantic–Temperate
Dryopteris carthusiana,DRYOPTERIDACEAE,Dryopteris,carthusiana,Narrow Buckler Fern,native,(Vill.) H.P.Fuchs,Vas_666,,"
Eurosiberian Boreo-temperate element.
This is found in wet acidic and often peaty places in woodlands (BH1), hedgerows (BH3), by the side of streams and on raised bogs in all parts of the British Isles.
Frequent (77). Although D. carthusiana is never abundant it is found in most of northern Lancashire and there is no evidence for a change in its status. It declined nationally before 1962 but further decline has not occurred.

Dryopteris carthusiana x D. dilatata (D. x deweveri (J.T. Jansen) Wacht.)

This hybrid fern occurs on fairly acid substrates in many parts of the British Isles wherever the distribution of the parents overlaps.
Very rare (3). It is often found with the parents and so far localities have been on the edge of peat mires at Arkholme (SD57K) in 1999 (J.M.N.); Yealand Storrs (SD47Y) in 2002 (R.C.) and Out Rawcliffe (SD44C) in 2004 (E.F.G.) It is almost certainly overlooked.

",Circumboreal (Boreal–temperate)
Dryopteris carthusiana x dilatata = D. x deweveri,DRYOPTERIDACEAE,Dryopteris,carthusiana x dilatata = D. x deweveri,Narrow x Broad Buckler-fern,native,(J.T.Jansen) Jansen & Wacht.,Vas_2584,,Text,Boreal–Temperate hybrid
