species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Campanula rapunculoides,CAMPANULACEAE,Campanula,rapunculoides,,neophyte,L.,Vas_320,,"
Neophyte. This is a European Temperate species first cultivated in Britain by 1568 and recorded from the wild by 1708. It is a common garden species and today occurs throughout Britain and more rarely in Ireland.
Rare (6). In northern Lancashire Wheldon and Wilson (1907) recorded Creeping Bellflower from Little Hawes Water, where it was first seen in 1881, between Lytham and Ansdell and near Pilling. A further locality was at St Michael’s (St Michael’s School, 1902). Today it occurs in a few places near the coast from Fleetwood to Lytham.

",Eurosiberian–Temperate
Campanula rotundifolia,CAMPANULACEAE,Campanula,rotundifolia,Harebell,native,L.,Vas_322,,"
Circumpolar Boreo-temperate element.
This is a rhizomatous perennial herb of dry infertile habitats in grasslands and on heaths (BH7). It is found in most of the British Isles.
Common (243). This occurs in most of northern Lancashire but it is largely absent from the intensively farmed pastoral areas in the south and arable farmland reclaimed from peat mosses. It is possible that this has declined at least in the south of the area. Nationally the ‘New Atlas’ reported no change in its distribution but ‘Local Change’ reported significant decline since 1987, at least at the edges of its distribution.

",Circumboreal–Temperate
Campanula trachelium,CAMPANULACEAE,Campanula,trachelium,Nettle-Leaved Bellflower,alien,L.,Vas_323,,"
European Temperate element but a neophyte in northern Lancashire. This is a large perennial herb found on dry, base-rich soils in woodlands and woodland edge habitats. It is regarded as native in central and southern parts of Britain and in south-eastern Ireland but occurs elsewhere as an introduction.
Very rare (3). In northern Lancashire it was first recorded from a roadside near Chipping (SD64G) in 1919 (T.H. Timbrill) and it is believed it has been recorded at the same site since then. It was last seen in 2004 (E.F.G.). Elsewhere it was found in a wood at Arkholme (SD57W) in 1983 (A.E.C.) and as a casual at Carnforth (SD47V; Livermore and Livermore, 1987).

",Eurosiberian–Temperate
Lobelia erinus,CAMPANULACEAE,Lobelia,erinus,Lobelia,neophyte,L.,Vas_4364,,"
Neophyte. Garden Lobelia is a native of South Africa and was cultivated in Britain by 1752. It is a popular garden plant with several horticultural cultivars but it was not recorded in the wild until 1913. Today it may be found anywhere in the British Isles but more often in southern Britain than elsewhere.
Very rare (1). In northern Lancashire it was found by a path at Garstang (SD44X) in 1998 (E.F.G.). It is probably more frequent than this single record suggests, especially in urban areas.

",Alien (South African)
Pratia pedunculata,CAMPANULACEAE,Pratia,pedunculata,Lawn Lobelia,alien,(R.Br.) Benth.,Vas_23616,,Text,Alien (Australasian)
Achillea millefolium,COMPOSITAE,Achillea,millefolium,Yarrow,native,L.,Vas_7,,"
Eurasian Boreo-temperate element.
Yarrow occurs in grasslands in a variety of habitats (BH6) throughout the British Isles. British material belongs to ssp millefolium where var. millefolium is the common taxon. Of the other varieties found in Britain var. compacta Bréb may occur in northern Lancashire (Sell and Murrell, 2006).
Very common (417). Yarrow occurs throughout northern Lancashire except on peat-covered fells. The distribution is stable locally and nationally.

",Circumboreal–Temperate
Achillea ptarmica,COMPOSITAE,Achillea,ptarmica,Sneezewort,native,L.,Vas_9,,"
Eurasian Boreo-temperate element.
Sneezewort is a perennial herb of damp or wet habitats on a wide range of soils (BH11) throughout the British Isles although it is rare in south-eastern Ireland.
Common (311). A. ptarmica is found throughout northern Lancashire. Its distribution is stable but nationally the ‘New Atlas’ reported considerable losses, especially in south-eastern England but further significant losses since 1987 were not confirmed (‘Local Change’).

",Eurosiberian–Temperate
Anaphalis margaritacea,COMPOSITAE,Anaphalis,margaritacea,Pearly Everlasting,neophyte,(L.) Benth.,Vas_101,,"
Neophyte. Pearly Everlasting is a native of North America and north-eastern Asia but it is widely naturalised elsewhere. It was grown in British gardens by 1596 and was found in the wild before 1707 when it was already well established. It is found mostly in ruderal habitats throughout Britain but only rarely in Ireland.

Rare (6). A. margaritacea was first found in northern Lancashire on the sand dunes at St Anne’s (Bailey, 1907). Since 1964 all records have been from north-western parts of the region.

",Alien (North American)
Antennaria dioica,COMPOSITAE,Antennaria,dioica,Mountain Everlasting,native,(L.) Gaertn.,Vas_116,,"
Eurasian Boreo-temperate element.
Mountain Everlasting is an attractive, stoloniferous species found on thin, usually calcareous grasslands, on heaths and on sand dunes (BH7, 10). Today it is found mostly in northern and western areas of the British Isles but it formerly also occurred in southern Britain.
Extinct. Formerly this occurred in several localities in the Silverdale and Yealand areas but 100 years ago Petty (1902) reported that trippers pulled up the plant causing its extinction at one Silverdale locality. It also occurred in at least two localities in Leck (Wheldon and Wilson, 1907), by the stream at Nicky Nook, Nether Wyresdale (J.P., 1855) and at St Anne’s in 1907 (MANCH). Nationally most losses occurred before 1962 (‘New Atlas’) but ‘Local Change’ reports no significant change since 1987.

",Circumboreal–Boreal
Anthemis arvensis,COMPOSITAE,Anthemis,arvensis,Corn Chamomile,archaeophyte,L.,Vas_117,,"
Archeophyte with a European Southern-temperate distribution.
Corn Chamomile is an annual species of light, calcareous or sandy soils found in cultivated ground and in waste places (BH3, 4) throughout the British Isles.
Rare (12). Although not recorded by Wheldon and Wilson (1907) it had been found at Stodday in 1862 (W.H.; LIV). Today it has been found in a few localities in the south of VC 60. Nationally Corn Chamomile has declined (‘New Atlas’, ‘Local Change’).

",Mediterranean–Temperate
Arctium minus,COMPOSITAE,Arctium,minus,Lesser Burdock,native,(Hill) Bernh.,Vas_22000,,"
European Temperate element.
The taxonomy and nomenclature of Arctium has caused many problems, especially for British botanists. Rich and Jermy (1998) provided two alternative treatments based on Perring (1988), who used British material, and that of Duistermaat (1996), which Stace (1997) follows. Both treatments recognise A. lappa but whereas Perring recognises three other taxa, A. minus Bernh., A. pubens Bab. and A. nemorosum Lej., Duistermaat includes A. pubens within a variable A. minus. However on material from northern England Duistermaat’s treatment has proved unworkable (e.g. Braithwaite, 2005). In the latest account Sell and Murrell (2006) describe one species with four subspecies, A. lappa ssp. lappa, ssp. pubens (Bab.) P.D. Sell, ssp. minus (Hill) Hook. fil. and ssp. nemorosum (Lej.). Sell and Murrell also suggest Duistermaat’s treatment is unworkable.
In this account the separate identity of A. lappa (= A. lappa ssp. lappa) is maintained (see above) but the remaining taxa are included in a variable A. minus sensu lato. Sell and Murrell narrowly define the limits of A. lappa ssp. minus and ssp. nemorosum recognising that ssp. minus with its small capitula is typical of south-western England whilst ssp. nemorosum with large capitula is found mostly in northern parts of the British Isles, and that the distribution of the two subspecies rarely overlap. However across the middle of Britain there is considerable variation in the morphology of Arctium and much of the material conforms to the broader limits of ssp. pubens. This is the situation in northern Lancashire although at least some plants come close to either ssp. minus or ssp. nemorosum.
Arctium minus sensu lato occurs throughout the British Isles but it is often rare in northern Scotland. It occurs in waste places, on roadsides and woodland edge habitats (BH3).
Very common (353). Lesser Burdock is found throughout northern Lancashire although it appears to be less frequent in the east of the area than elsewhere. Its distribution is stable both locally and nationally.

",Eurosiberian–Temperate
Artemisia absinthium,COMPOSITAE,Artemisia,absinthium,Wormwood,archaeophyte,L.,Vas_170,,"
Archeophyte with a Eurosiberian Temperate distribution.
This aromatic herb occurs in ruderal habitats (BH3, 16, 17) and is found in England and Wales but more rarely in Scotland and Ireland.
Occasional (37). Wheldon and Wilson (1907) did not record Wormwood in VC 60 yet Thornber (1837) recorded it from Blackpool and it was found at Halton in the Lune valley in 1862 (W.H.; LIV). Today it is found mostly in coastal areas and between Preston and Lytham. Nationally its distribution is stable.

",Eurasian–Temperate
Artemisia scoparia,COMPOSITAE,Artemisia,scoparia,Red-stem Wormwood,alien,Waldst. & Kit.,Vas_7955,,Text,Alien (Asian)
Artemisia vulgaris,COMPOSITAE,Artemisia,vulgaris,Mugwort,archaeophyte,L.,Vas_175,,"
Archeophyte with a Eurosiberian Temperate distribution.
Mugwort is associated with human habitation and is found in a variety of ruderal habitats (BH3, 17). It occurs throughout the British Isles but it is rare in upland areas of Scotland, Wales and in parts of Ireland.
Frequent (230). In northern Lancashire A. vulgaris occurs in western areas but it also occurs in the Lune, Wyre and Ribble valleys. As Wheldon and Wilson (1907) described Mugwort as ‘not very common’ and did not record it from their district 7 based on the Wyre valley east of Garstang it is probable that it has extended its range and become more frequent over the last 100 years. Nationally the ‘New Atlas’ thought the distribution of A. vulgaris was stable but according to ‘Local Change’ it has extended its range since 1987.

",Eurasian–Temperate
Bellis perennis,COMPOSITAE,Bellis,perennis,Daisy,native,L.,Vas_231,,"
European Temperate element.
Daisy occurs in mown or trampled grassland but also by streams and in upland flushes (BH6). It is found throughout the British Isles.
Very common (429). B. perennis occurs throughout northern Lancashire except on the peat covered fells. Its distribution locally and nationally is stable.

",Atlantic–Temperate
Bidens cernua,COMPOSITAE,Bidens,cernua,Nodding Bur-Marigold,native,L.,Vas_241,,"
Circumpolar Temperate element.
This is an annual species of wet substrates on the margins of slow-flowing rivers and streams, by ponds and in ditches and marshes (BH13, 14). It is found throughout the British Isles but it is rare or absent from much of northern Britain.
Frequent (102). In northern Lancashire Nodding Bur-marigold is found mostly in lowland, western areas of the region. Although Wheldon and Wilson (1907) only recorded about 12 localities it is likely that it was more frequent than these records suggest. Nevertheless it appears that B. cernua has become more frequent over the last 100 years. Nationally the ‘New Atlas’ showed a marked decline, especially in eastern England but suggested that most of this occurred before 1930. Since 1987 its distribution appears unchanged (‘Local Change’).

",Circumboreal–Temperate
Bidens ferulifolia,COMPOSITAE,Bidens,ferulifolia,Fern-Leaved Beggarticks,neophyte,(Jacq.) DC.,Vas_5975,,Text,Alien (American)
Bidens tripartita,COMPOSITAE,Bidens,tripartita,Trifid Bur Marigold,native,L.,Vas_242,,"
Eurasian Temperate element.
Trifid Bur-marigold is found in nutrient rich wet places in a wide variety of habitats but it may also occur occasionally in drier waste places (BH11, 13). It is found in Ireland, England, Wales and central and southern Scotland.
Occasional (37). In northern Lancashire B. tripartita has a more scattered distribution than B. cernua and may be found in any lowland area. Wheldon and Wilson (1907) knew Trifid Bur-marigold from only eight localities indicating that it has spread over the last 100 years. Nationally the ‘New Atlas’ suggests it has declined but ‘Local Change’ reported no significant decline since 1987.

",Circumboreal–Temperate
Calendula officinalis,COMPOSITAE,Calendula,officinalis,,neophyte,L.,Vas_300,,"
Neophyte. This attractive species was grown as a pot herb in British gardens by 995. It readily escapes from cultivation and was known in the wild by 1872 but it rarely becomes naturalised. However its origin is unknown. Today it is found throughout the British Isles although most records are from the southern half of Britain.
Occasional (36). It is not known when Pot Marigold first appeared in the wild in northern Lancashire. However by the mid 1960s it was found on tips and in waste places. Today it is found mostly in the west of the region and around Preston.

",Alien (Mediterranean)
Carduus crispus,COMPOSITAE,Carduus,crispus,Welted Thistle,native,L.,Vas_335,,"
Eurosiberian Temperate element.
This is a biennial herb of woodland margins, tall grasslands, roadsides and waste places (BH3). It is found in most of England, eastern Wales, eastern Ireland, southern and eastern Scotland. It is regarded as an introduction in some northern localities.
Frequent (87). In northern Lancashire most records of Welted Thistle are from north-western parts of the area but there are scattered localities elsewhere, especially in the Ribble valley. In northern Lancashire C. crispus has extended its range over the last 100 years to become more widely distributed in the region but nationally there has been no change in its distribution.

",Eurosiberian–Temperate
Carduus crispus x nutans = C. x stangii,COMPOSITAE,Carduus,crispus x nutans = C. x stangii,,native,H.Buek ex Nyman,Vas_336,,Text,Eurosiberian hybrid
Carduus nutans,COMPOSITAE,Carduus,nutans,Musk Thistle,native,L.,Vas_337,,"
Eurosiberian Temperate element but probably a neophyte in northern Lancashire.
Musk Thistle occurs on basic soils in grassland and waste places in Wales, southern, midland and eastern England and south-eastern Scotland. Elsewhere it is found as an introduction.
Very rare (4). In northern Lancashire this was reported from many places about Preston (Ashfield, 1862) but discounted by Wheldon and Wilson (1907). However it was found from Thornton near Fleetwood in 1915 (J.Mo. in Wheldon and Wilson, 1925). It was then found from near Lancaster (SD46X) in 1965 (anon), near Weeton (SD33R) in 1981 (C.F. & N.J.S.), Warton (SD57B) in 1986 (C.F & N.J.S.) and Lytham (SD32T) in 2004 (anon). Its distribution nationally is unchanged.

",Eurasian–Temperate
Carduus tenuiflorus,COMPOSITAE,Carduus,tenuiflorus,,native,Curtis,Vas_339,,"
Suboceanic Southern-temperate element.
C. tenuiflorus is an annual or biennial species of dry, grasslands and waste places (BH3, 6). It is found in coastal areas of England, Wales, Ireland and eastern Scotland and as an introduction inland in Wales and England. It also occurs inland in Ireland where it is regarded as native.
Occasional (19). In northern Lancashire Slender Thistle is found along many parts of the coast and on the Wyre estuary as far inland as the Cartford Bridge (SD44F). There has been no change in its distribution locally or nationally.

",Mediterranean
Carlina vulgaris,COMPOSITAE,Carlina,vulgaris,Carline Thistle,native,L.,Vas_427,,"
Eurosiberian Temperate element.
This perennial thistle grows in well grazed, dry, infertile but base-rich grasslands and in open habitats on rock ledges, in quarries and on sand dunes (BH7). It is found in suitable places in England, Wales and Ireland but in Scotland it is mostly found in coastal areas.
Occasional (22). In northern Lancashire Carline Thistle is found on limestone and other calcareous soils around Morecambe Bay and on the Fylde coast sand dunes. It occurs occasionally elsewhere but it was not found in Lancashire VC 64 until 2007 (P.G.) when it was found on limestone near Whitewell. Whilst Wheldon and Wilson (1907) recorded a similar distribution to that found today they also found it occasionally on the western side of the Bowland Fells from where it appears to have gone. Nationally the ‘New Atlas’ reported a wide-spread decline but significant further decline after 1987 was not noted by ‘Local Change’.

",Eurosiberian–Temperate
Centaurea cyanus,COMPOSITAE,Centaurea,cyanus,Cornflower,archaeophyte,L.,Vas_440,,"
Archeophyte with a native distribution centred on the European Temperate region but widely naturalised outside this range.
Cornflower has been known in Britain since the Iron Age and was a serious weed of cultivated ground until seed cleaning prompted a rapid decline. There are records from cultivated and waste ground (BH3, 4, 17) from many parts of the British Isles.
Rare (6). In northern Lancashire Cornflower has been recorded since 1964 as a casual from a few coastal localities. Unlike many other parts of the country C. cyanus has never been common and old records are mostly from the west of the region. Whilst the ‘New Atlas’ reported many losses ‘Local Change’ reported some gains since 1987, probably because in recent years it has been included in amenity seed mixes.

",Mediterranean–Temperate
Centaurea debeauxii subsp. nemoralis var. nemoralis,COMPOSITAE,Centaurea,debeauxii subsp. nemoralis var. nemoralis,,native,(Jord.) Dostál,Vas_444.1,,Text,Eurosiberian–Temperate
Centaurea montana,COMPOSITAE,Centaurea,montana,Perennial Cornflower,neophyte,L.,Vas_2422,,"
Neophyte. This is a native of the mountains of central and southern Europe. It was introduced into British cultivation before 1596 and was known from the wild by 1888. It is widely grown in gardens and has escaped into the wild in many parts of Britain but there are only a few records from Ireland.
Occasional (34). Perennial Cornflower was first found in northern Lancashire on a roadside near Quernmore (SD55D) in 1966 (E.F.G. & J.H.). Today it occurs in scattered localities throughout the area.

",Eurosiberian–montane
